	Node degree	Node betweenness	Node stress	Node eigenvector centrality scores	Node closeness	Clustering coefficient
OTU_1223	28	0.306445424	12	0.38597523	0.001074114	0.981481481
OTU_1226	7	0.323924731	5	0.008259938	0.00095511	0.904761905
OTU_1229	21	1.091903384	48	0.292437923	0.001104972	0.961904762
OTU_1243	19	1.806716307	112	0.076505432	0.001131222	0.953216374
OTU_1261	1	0	0	0.014823138	0.001015228	0
OTU_1275	49	26.46290332	1286	0.612160506	0.001277139	0.87244898
OTU_1276	1	0	0	0.002439093	0.000855432	0
OTU_1277	21	0.473349598	36	0.289021844	0.001156069	0.99047619
OTU_1279	2	0	0	0.006121106	0.000962464	1
OTU_1282	15	20.49395049	420	0.028418248	0.001114827	0.723809524
OTU_1287	38	172.8956861	5483	0.409528988	0.001233046	0.625889047
OTU_1297	1	0	0	0.00704916	0.000949668	0
OTU_1299	49	23.38022598	1702	0.603335357	0.001248439	0.858843537
OTU_1306	4	1.101151229	21	0.014681913	0.001037344	0.666666667
OTU_1309	1	0	0	0.001197872	0.000874891	0
OTU_1328	8	0	0	0.119810043	0.001088139	1
OTU_1370	1	0	0	0.003123423	0.000888099	0
OTU_1372	1	0	0	0.013447241	0.000953289	0
OTU_1385	12	1.603646709	77	0.025061389	0.001091703	0.924242424
OTU_1407	3	0	0	0.006511687	0.000997009	1
OTU_1419	14	3.747257427	452	0.025207225	0.001044932	0.945054945
OTU_1471	23	1.263175754	78	0.109993475	0.001141553	0.956521739
OTU_1474	22	59.87068348	2215	0.146647454	0.00128866	0.567099567
OTU_1499	16	3.138558271	159	0.06324569	0.001153403	0.933333333
OTU_1520	38	2.324883658	137	0.507904681	0.001203369	0.953058321
OTU_1536	8	0	0	0.106754577	0.001086957	1
OTU_1550	10	3.386766061	52	0.028017836	0.001013171	0.822222222
OTU_1557	9	0	0	0.028012737	0.001026694	1
OTU_1573	22	13.46944584	430	0.035248304	0.001135074	0.826839827
OTU_1577	36	4.201610546	273	0.464391766	0.001152074	0.914285714
OTU_1589	4	0	0	0.005914712	0.000938086	1
OTU_1607	7	11.38403463	245	0.025469701	0.001038422	0.666666667
OTU_1611	1	0	0	0.002750737	0.000935454	0
OTU_1628	13	0	0	0.186154027	0.00104712	1
OTU_1632	34	0.914173943	108	0.464491417	0.001131222	0.98573975
OTU_1653	61	90.74718889	4093	0.69806151	0.00130039	0.731693989
OTU_1701	19	0.032312925	2	0.272105611	0.001059322	0.994152047
OTU_1720	60	88.46331433	5491	0.703424545	0.00130719	0.749717514
OTU_1752	1	0	0	0.010891746	0.00088968	0
OTU_1757	28	3.824608458	204	0.37918207	0.001183432	0.941798942
OTU_1792	54	32.16425791	1845	0.657276324	0.001261034	0.821802935
OTU_1806	5	0	0	0.014281198	0.000982318	1
OTU_1829	49	19.67964347	1144	0.614849828	0.001253133	0.878401361
OTU_1874	5	0	0	0.047410071	0.001128668	1
OTU_1931	3	0	0	0.029497923	0.001090513	1
OTU_1934	1	0	0	0.005866541	0.000923361	0
OTU_1951	13	0.334576026	7	0.014011335	0.000954198	0.948717949
